signalNum,trialNum,sensorPos,sampleNum,sensorVal,subjectID,matchingCond,channel,name,time
1,17,FP1,0,8.779,c,S2 match,0,co2c0000337,0
2,17,FP1,1,5.361,c,S2 match,0,co2c0000337,0.00390625
3,17,FP1,2,3.896,c,S2 match,0,co2c0000337,0.0078125
4,17,FP1,3,4.384,c,S2 match,0,co2c0000337,0.01171875
5,17,FP1,4,5.849,c,S2 match,0,co2c0000337,0.015625
6,17,FP1,5,6.826,c,S2 match,0,co2c0000337,0.01953125
7,17,FP1,6,7.802,c,S2 match,0,co2c0000337,0.0234375
8,17,FP1,7,8.291,c,S2 match,0,co2c0000337,0.02734375
9,17,FP1,8,9.267,c,S2 match,0,co2c0000337,0.03125
10,17,FP1,9,11.22,c,S2 match,0,co2c0000337,0.03515625
11,17,FP1,10,13.662,c,S2 match,0,co2c0000337,0.0390625
12,17,FP1,11,14.638,c,S2 match,0,co2c0000337,0.04296875
13,17,FP1,12,13.662,c,S2 match,0,co2c0000337,0.046875
14,17,FP1,13,10.732,c,S2 match,0,co2c0000337,0.05078125
15,17,FP1,14,7.314,c,S2 match,0,co2c0000337,0.0546875
16,17,FP1,15,4.384,c,S2 match,0,co2c0000337,0.05859375
17,17,FP1,16,3.408,c,S2 match,0,co2c0000337,0.0625
18,17,FP1,17,3.896,c,S2 match,0,co2c0000337,0.06640625
19,17,FP1,18,3.896,c,S2 match,0,co2c0000337,0.0703125
20,17,FP1,19,3.408,c,S2 match,0,co2c0000337,0.07421875
21,17,FP1,20,2.431,c,S2 match,0,co2c0000337,0.078125
22,17,FP1,21,2.92,c,S2 match,0,co2c0000337,0.08203125
23,17,FP1,22,3.408,c,S2 match,0,co2c0000337,0.0859375
24,17,FP1,23,3.896,c,S2 match,0,co2c0000337,0.08984375
25,17,FP1,24,3.896,c,S2 match,0,co2c0000337,0.09375
26,17,FP1,25,2.431,c,S2 match,0,co2c0000337,0.09765625
27,17,FP1,26,-0.498,c,S2 match,0,co2c0000337,0.1015625
28,17,FP1,27,-2.94,c,S2 match,0,co2c0000337,0.10546875
29,17,FP1,28,-4.405,c,S2 match,0,co2c0000337,0.109375
30,17,FP1,29,-4.893,c,S2 match,0,co2c0000337,0.11328125
31,17,FP1,30,-4.893,c,S2 match,0,co2c0000337,0.1171875
32,17,FP1,31,-4.405,c,S2 match,0,co2c0000337,0.12109375
33,17,FP1,32,-2.94,c,S2 match,0,co2c0000337,0.125
34,17,FP1,33,0.478,c,S2 match,0,co2c0000337,0.12890625
35,17,FP1,34,5.361,c,S2 match,0,co2c0000337,0.1328125
36,17,FP1,35,10.244,c,S2 match,0,co2c0000337,0.13671875
37,17,FP1,36,12.685,c,S2 match,0,co2c0000337,0.140625
38,17,FP1,37,12.197,c,S2 match,0,co2c0000337,0.14453125
39,17,FP1,38,9.267,c,S2 match,0,co2c0000337,0.1484375
40,17,FP1,39,6.826,c,S2 match,0,co2c0000337,0.15234375
41,17,FP1,40,5.849,c,S2 match,0,co2c0000337,0.15625
42,17,FP1,41,6.337,c,S2 match,0,co2c0000337,0.16015625
43,17,FP1,42,6.826,c,S2 match,0,co2c0000337,0.1640625
44,17,FP1,43,5.849,c,S2 match,0,co2c0000337,0.16796875
45,17,FP1,44,4.873,c,S2 match,0,co2c0000337,0.171875
46,17,FP1,45,4.384,c,S2 match,0,co2c0000337,0.17578125
